#n,,,,,,,
384,,,,,,,
#no,x(m),y(m),z(m),nx,ny,nz,area(m2)
354,0.02301,0.156728,-0.002961,0,0,1,3.14E-06
355,-0.000987,0.157351,-0.001059,0,0,1,3.14E-06
356,0.010819,0.157628,-0.001229,0,0,1,3.14E-06
357,-0.020004,0.1588,-0.002661,0,0,1,3.14E-06
358,-0.011297,0.159038,-0.00154,0,0,1,3.14E-06
359,0.028095,0.159092,-0.00317,0,0,1,3.14E-06
360,0.002083,0.160566,-0.002028,0,0,1,3.14E-06
361,0.022622,0.160989,-0.002634,0,0,1,3.14E-06
362,0.010458,0.161923,-0.001781,0,0,1,3.14E-06
363,-0.016366,0.162264,-0.002984,0,0,1,3.14E-06
364,-0.012361,0.164151,-0.002405,0,0,1,3.14E-06
365,0.030118,0.16417,-0.002386,0,0,1,3.14E-06
366,0.003981,0.164487,-0.002737,0,0,1,3.14E-06
367,-0.021118,0.165065,-0.002444,0,0,1,3.14E-06
368,0.024914,0.165805,-0.002448,0,0,1,3.14E-06
369,-0.000065,0.16652,-0.001946,0,0,1,3.14E-06
370,0.007575,0.167274,-0.002831,0,0,1,3.14E-06
371,0.027913,0.169005,-0.00159,0,0,1,3.14E-06
372,-0.018875,0.169088,-0.003185,0,0,1,3.14E-06
373,0.00411,0.169759,-0.003192,0,0,1,3.14E-06
374,-0.012703,0.170737,-0.002661,0,0,1,3.14E-06
375,-0.000034,0.171316,-0.002118,0,0,1,3.14E-06
376,0.010398,0.172362,-0.002035,0,0,1,3.14E-06
377,-0.019349,0.174561,-0.002664,0,0,1,3.14E-06
378,0.005537,0.174653,-0.002983,0,0,1,3.14E-06
379,0.001299,0.176574,-0.001914,0,0,1,3.14E-06
380,0.009689,0.176788,-0.001744,0,0,1,3.14E-06
381,-0.012693,0.178199,-0.001337,0,0,1,3.14E-06
382,-0.016862,0.179649,-0.001835,0,0,1,3.14E-06
383,0.006942,0.181215,-0.001222,0,0,1,3.14E-06
